epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1673.8,1.76942,1.97129,2.41398,0.62697,0.5119,0.56855,0.287,1.70218,1.80563,2.45807,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,1763.06,1.76824,1.98377,2.39154,0.66274,0.52661,0.58056,0.2872,1.70034,1.82969,2.43607,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,1847.38,1.74126,1.94413,2.381,0.67944,0.54028,0.61037,0.31027,1.6773,1.72484,2.43073,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,1938.09,1.7278,1.93866,2.3662,0.64965,0.54692,0.59889,0.30307,1.68482,1.76985,2.42684,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,2026.23,1.69696,1.90098,2.33304,0.65666,0.57703,0.62563,0.32389,1.65939,1.69173,2.40577,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,2110.37,1.69768,1.87228,2.31667,0.60698,0.4951,0.53302,0.26395,1.72013,1.85918,2.48433,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,2195.41,1.70667,1.86862,2.33357,0.70268,0.58053,0.63499,0.33335,1.63857,1.65854,2.37465,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,2282.94,1.65705,1.85612,2.29587,0.69492,0.56148,0.63166,0.33379,1.62354,1.65175,2.34779,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,2369.87,1.66927,1.83906,2.29546,0.67216,0.5858,0.63527,0.33419,1.61917,1.6536,2.33675,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,2421.3,1.66643,1.81886,2.27403,0.68979,0.58964,0.6434,0.34543,1.60518,1.61773,2.32836,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
